,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Derivative Product Liabilities,Employee Benefits,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Current Notes Payable,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables And Accrued Expenses,Payables,Other Payable,Dividends Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Financial Assets,Investments And Advances,Long Term Equity Investment,Investmentsin Associatesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Gross PPE,Other Properties,Machinery Furniture Equipment,Current Assets,Hedging Assets Current,Assets Held For Sale Current,Prepaid Assets,Receivables,Receivables Adjustments Allowances,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Cash Financial
2024-06-30,4552300000.0,4552300000.0,4180600000.0,4622400000.0,10474700000.0,14869100000.0,-458100000.0,10474700000.0,392200000.0,10638900000.0,14381600000.0,10638900000.0,10638900000.0,13300000.0,13300000.0,1523400000.0,9102200000.0,9102200000.0,5086900000.0,4230200000.0,97200000.0,4100000.0,4100000.0,4128900000.0,386200000.0,3742700000.0,,856700000.0,493500000.0,6000000.0,487500000.0,487500000.0,,60100000.0,76700000.0,226400000.0,226400000.0,99300000.0,,127100000.0,15725800000.0,15327200000.0,8400000.0,77600000.0,77600000.0,184600000.0,91800000.0,91800000.0,91800000.0,14771400000.0,164200000.0,164200000.0,29200000.0,29200000.0,26200000.0,3000000.0,398600000.0,68000000.0,186600000.0,20500000.0,73900000.0,-6200000.0,71300000.0,8800000.0,49600000.0,49600000.0,49600000.0
2023-06-30,4552200000.0,4552200000.0,3880600000.0,4461400000.0,10473900000.0,14711600000.0,-304200000.0,10473900000.0,387900000.0,10638100000.0,14388600000.0,10638100000.0,10638100000.0,8800000.0,8800000.0,1527100000.0,9102200000.0,9102200000.0,4946500000.0,4285800000.0,148900000.0,3900000.0,3900000.0,4133000000.0,382500000.0,3750500000.0,,660700000.0,328400000.0,5400000.0,323000000.0,323000000.0,,59700000.0,77200000.0,195400000.0,195400000.0,85500000.0,,109900000.0,15584600000.0,15228100000.0,7700000.0,74700000.0,74700000.0,227600000.0,437500000.0,437500000.0,437500000.0,14288400000.0,164200000.0,164200000.0,28000000.0,28000000.0,24600000.0,3400000.0,356500000.0,39100000.0,,15500000.0,109000000.0,-7500000.0,95400000.0,21100000.0,192900000.0,192900000.0,192900000.0
2022-06-30,4552200000.0,4552200000.0,3696900000.0,4141600000.0,10720900000.0,14637600000.0,-173700000.0,10720900000.0,389100000.0,10885100000.0,14597600000.0,10885100000.0,10885100000.0,6000000.0,6000000.0,1776900000.0,9102200000.0,9102200000.0,4667500000.0,4320800000.0,242900000.0,3700000.0,3700000.0,4073900000.0,361400000.0,3712500000.0,300000.0,346700000.0,67700000.0,27700000.0,40000000.0,,40000000.0,59300000.0,22800000.0,196900000.0,196900000.0,79800000.0,,117100000.0,15552600000.0,15379600000.0,6500000.0,69300000.0,69300000.0,228800000.0,513800000.0,513800000.0,513800000.0,14366400000.0,164200000.0,164200000.0,30600000.0,30600000.0,27200000.0,3400000.0,173000000.0,300000.0,,14500000.0,102600000.0,-75400000.0,69800000.0,108200000.0,55600000.0,55600000.0,55600000.0
2021-06-30,4552200000.0,4552200000.0,3245700000.0,3625100000.0,10013700000.0,13295600000.0,-245200000.0,10013700000.0,343200000.0,10013700000.0,13295600000.0,10013700000.0,10013700000.0,,,1452900000.0,8560800000.0,8560800000.0,4328300000.0,3815800000.0,213800000.0,,,3602000000.0,320100000.0,3281900000.0,,512500000.0,23100000.0,23100000.0,,,,,26500000.0,462900000.0,462900000.0,79500000.0,300400000.0,83000000.0,14342000000.0,14074700000.0,414800000.0,,,110400000.0,479300000.0,479300000.0,479300000.0,13070200000.0,,,,,,,267300000.0,,128000000.0,5500000.0,97600000.0,-128300000.0,91000000.0,134900000.0,36200000.0,36200000.0,36200000.0
2020-06-30,,,,,,,,,,,,,,900000.0,900000.0,,,,,,,4000000.0,4000000.0,,,,900000.0,,,,151800000.0,-100000.0,151900000.0,25300000.0,,,,,,,,,,72600000.0,72600000.0,,,,,,164200000.0,164200000.0,35800000.0,35800000.0,32900000.0,2900000.0,,,,,,,,,,,
